,Date,Time,User,Message,Year,Month,Day,Words,Word Length,Message Characters,Media
0,26-03-2018,12:57 AM, Cse Aruna Kumari,<Media omitted>,2018,3,26,"['', 'Media', 'omitted', '']",2,12,TRUE
1,29-03-2018,PM, Fri Vishnu Prasad,thop chepinav mama,2018,3,29,"['thop', 'chepinav', 'mama']",1,15,FALSE
2,29-03-2018,PM, Fri Jhanaki Ram,Evaroo chepar mama... Nak telvaduu...😌,2018,3,29,"['Evaroo', 'chepar', 'mama', 'Nak', 'telvaduu', '']",4,35,FALSE
3,29-03-2018,PM, Fri Vishnu Prasad,avna...nen nv me company lo em ayna chepinava ankuna😜,2018,3,29,"['avna', 'nen', 'nv', 'me', 'company', 'lo', 'em', 'ayna', 'chepinava', 'ankuna', '']",9,50,FALSE
4,29-03-2018,PM, Fri Jhanaki Ram,🤣🤣🤣,2018,3,29,"['', '']",0,0,FALSE
5,29-03-2018,PM, Fri Vishnu Prasad,Akada nen CR kaadu raa..,2018,3,29,"['Akada', 'nen', 'CR', 'kaadu', 'raa', '']",4,21,FALSE
6,29-03-2018,PM, Fri Vishnu Prasad,Bye friends moving to Chennai....😂😂,2018,3,29,"['Bye', 'friends', 'moving', 'to', 'Chennai', '']",4,32,FALSE
7,29-03-2018,PM, Fri Saikirshna Bingi,Al d best bingi,2018,3,29,"['Al', 'd', 'best', 'bingi']",2,12,FALSE
8,29-03-2018,PM, Cse Srujana,Good luck bingi.. take care..,2018,3,29,"['Good', 'luck', 'bingi', 'take', 'care', '']",4,26,FALSE
9,29-03-2018,PM, Cse Komal,Thq,2018,3,29,['Thq'],-1,0,FALSE
10,29-03-2018,PM, Fri Saikirshna Bingi,all the best bingi😄👍🏻,2018,3,29,"['all', 'the', 'best', 'bingi', '']",3,18,FALSE
11,30-03-2018,12:11 AM, Fri Ramnarayan Cse,All d best raa...😍👍🏻 rojuki oka 3-4 times snanam chei inkendi...👌🏻👌🏻,2018,3,30,"['All', 'd', 'best', 'raa', 'rojuki', 'oka', '3', '4', 'times', 'snanam', 'chei', 'inkendi', '']",11,65,FALSE
12,30-03-2018,8:10 AM, Fri Vishnu Prasad,Annaya thappadu igaa,2018,3,30,"['Annaya', 'thappadu', 'igaa']",1,17,FALSE
13,30-03-2018,8:10 AM, Fri Saikirshna Bingi,Cls ki velepudu... Bottle patukelaku raa... Direct bucket tho vellu... Neek kuda easy avthundii,2018,3,30,"['Cls', 'ki', 'velepudu', 'Bottle', 'patukelaku', 'raa', 'Direct', 'bucket', 'tho', 'vellu', 'Neek', 'kuda', 'easy', 'avthundii']",12,92,FALSE
14,30-03-2018,8:14 AM, Fri Vishnu Prasad,Heheh,2018,3,30,['Heheh'],-1,2,FALSE
15,30-03-2018,8:14 AM, Fri Saikirshna Bingi,Many more happy returns of the day MEGHANA🍰🍰🍰🍰,2018,3,30,"['Many', 'more', 'happy', 'returns', 'of', 'the', 'day', 'MEGHANA', '']",7,43,FALSE
16,31-03-2018,7:22 AM, Fri Saikumar Jntu,Happy birthday Meghana🎂🎂,2018,3,31,"['Happy', 'birthday', 'Meghana', '']",2,21,FALSE
17,31-03-2018,7:37 AM, Fri Santosh Cse,Happy birthday meghana,2018,3,31,"['Happy', 'birthday', 'meghana']",1,19,FALSE
18,31-03-2018,7:37 AM, Cse Snigda,Happy birthday meghana,2018,3,31,"['Happy', 'birthday', 'meghana']",1,19,FALSE
19,31-03-2018,7:43 AM, Cse Nikila A,Happy birthday meghana.,2018,3,31,"['Happy', 'birthday', 'meghana', '']",2,20,FALSE
20,31-03-2018,7:44 AM, Abhinav Mississippi,Hapieee BrthDay Meghna🍺😜,2018,3,31,"['Hapieee', 'BrthDay', 'Meghna', '']",2,21,FALSE
21,31-03-2018,7:47 AM, Fri Jhanaki Ram,Happy birthday meghana,2018,3,31,"['Happy', 'birthday', 'meghana']",1,19,FALSE
22,31-03-2018,8:17 AM, Cse Snikitha,Happiee bday Meghana,2018,3,31,"['Happiee', 'bday', 'Meghana']",1,17,FALSE
23,31-03-2018,8:20 AM, Cse Deepa,Happy birthday meghana,2018,3,31,"['Happy', 'birthday', 'meghana']",1,19,FALSE
24,31-03-2018,8:33 AM, Cse Ravali,Happy birthday meghana😊🎂🎂,2018,3,31,"['Happy', 'birthday', 'meghana', '']",2,22,FALSE
25,31-03-2018,8:47 AM, Cse Maheswari,Happy birthday meghana,2018,3,31,"['Happy', 'birthday', 'meghana']",1,19,FALSE
26,31-03-2018,8:49 AM, Cse Shirisha,Happy birthday meghana,2018,3,31,"['Happy', 'birthday', 'meghana']",1,19,FALSE
27,31-03-2018,8:55 AM, Fri Rajashaker Cse,Hpy b'dy meghana,2018,3,31,"['Hpy', 'b', 'dy', 'meghana']",2,13,FALSE
28,31-03-2018,8:49 AM, Fri Yacob Cse,Happy birthday Meghana.....,2018,3,31,"['Happy', 'birthday', 'Meghana', '']",2,24,FALSE
29,31-03-2018,8:57 AM, Lalli,Happiee bday Meghana,2018,3,31,"['Happiee', 'bday', 'Meghana']",1,17,FALSE
